time,ueid,TDDLTE_L1_measurement_Serving_Cell_Measurement_RSRP,TDDLTE_L1_measurement_Serving_Cell_Measurement_SINR
39674218,1,-77,7
39674343,1,-76,7
39674578,1,-76,7
39674750,1,-76,7
39674984,1,-76,7
39675218,1,-76,7
39675468,1,-75,7
39675578,1,-76,8
39675750,1,-76,7
39675984,1,-76,8
39676218,1,-75,8
39676468,1,-77,8
39676578,1,-78,7
39676750,1,-77,7
39676984,1,-75,7
39677218,1,-76,7
39677468,1,-77,8
39677578,1,-75,8
39677750,1,-77,9
39677984,1,-76,8
39678218,1,-75,7
39678343,1,-76,6
39678578,1,-78,8
39678750,1,-77,9
39678984,1,-77,7
39679218,1,-77,7
39679468,1,-77,7
39679578,1,-76,9
39679750,1,-76,8
39679984,1,-77,9
39680218,1,-76,8
39680343,1,-78,9
39680578,1,-77,8
39680750,1,-77,8
39680984,1,-77,8
39681218,1,-77,8
39681468,1,-77,9
39681578,1,-77,8
39681750,1,-77,9
39681984,1,-77,9
39682218,1,-77,8
39682468,1,-78,7
39682578,1,-78,7
39682750,1,-77,8
39682984,1,-78,7
39683218,1,-78,8
39683468,1,-78,7
39683578,1,-78,7
39683750,1,-78,7
39683984,1,-78,9
39684218,1,-78,7
39684343,1,-78,8
39684578,1,-78,7
39684750,1,-78,8
39684984,1,-78,7
39685218,1,-78,9
39685343,1,-77,8
39685578,1,-77,9
39685750,1,-78,7
39685984,1,-78,7
39686218,1,-77,9
39686468,1,-78,8
39686578,1,-78,7
39686750,1,-78,8
39686984,1,-78,7
39687125,1,-78,7
39687468,1,-78,7
39687578,1,-78,8
39687750,1,-78,8
39687984,1,-78,8
39688218,1,-78,8
39688343,1,-77,8
39688578,1,-78,8
39688750,1,-78,8
39688984,1,-78,8
39689218,1,-78,8
39689468,1,-78,8
39689578,1,-77,8
39689750,1,-78,8
39689984,1,-78,8
39690218,1,-78,8
39690343,1,-79,9
39690578,1,-78,8
39690750,1,-77,9
39690984,1,-75,9
39691218,1,-74,10
39691468,1,-74,10
39691578,1,-75,9
39691859,1,-76,8
39691984,1,-76,8
39692218,1,-76,6
39692343,1,-77,5
39692578,1,-77,7
39692750,1,-76,7
39692984,1,-74,9
39693218,1,-75,8
39693468,1,-76,8
39693578,1,-76,9
39693750,1,-76,10
39693984,1,-76,9
39694218,1,-76,9
39694343,1,-76,9
39694578,1,-76,9
39694750,1,-76,9
39694984,1,-76,8
39695218,1,-77,8
39695343,1,-76,9
39695578,1,-75,9
39695750,1,-76,8
39695984,1,-77,8
39696218,1,-77,9
39696468,1,-76,9
39696578,1,-77,8
39696750,1,-78,8
39696984,1,-78,7
39697218,1,-78,8
39697468,1,-78,8
39697578,1,-77,8
39697750,1,-78,8
39698109,1,-77,8
39698218,1,-76,8
39698343,1,-74,10
39698578,1,-76,9
39698750,1,-74,11
39698984,1,-76,11
39699218,1,-76,7
39699468,1,-75,10
39699625,1,-76,9
