Time,PCTime,UEid,RSRP,SINR
16:9:31.601,58171601,1,-87,18
16:9:31.602,58171602,1,-87,14
16:9:31.881,58171881,1,-87,14
16:9:32.041,58172041,1,-87,14
16:9:32.221,58172221,1,-87,14
16:9:32.401,58172401,1,-86,15
16:9:32.721,58172721,1,-86,14
16:9:32.841,58172841,1,-86,18
16:9:33.112,58173112,1,-85,15
16:9:33.221,58173221,1,-86,15
16:9:33.522,58173522,1,-86,14
16:9:33.682,58173682,1,-86,14
16:9:33.881,58173881,1,-86,13
16:9:34.003,58174003,1,-86,13
16:9:34.222,58174222,1,-85,18
16:9:34.402,58174402,1,-86,14
16:9:34.722,58174722,1,-86,13
16:9:34.881,58174881,1,-86,13
16:9:35.002,58175002,1,-86,14
16:9:35.222,58175222,1,-86,14
16:9:35.402,58175402,1,-85,14
16:9:35.722,58175722,1,-87,13
16:9:35.882,58175882,1,-86,13
16:9:36.042,58176042,1,-83,13
16:9:36.222,58176222,1,-84,13
16:9:36.402,58176402,1,-87,13
16:9:36.722,58176722,1,-89,14
16:9:36.882,58176882,1,-91,11
16:9:37.042,58177042,1,-85,15
16:9:37.222,58177222,1,-88,15
16:9:37.522,58177522,1,-82,15
16:9:37.682,58177682,1,-88,14
16:9:37.842,58177842,1,-86,13
16:9:38.112,58178112,1,-81,16
16:9:38.222,58178222,1,-83,14
16:9:38.402,58178402,1,-82,16
16:9:38.722,58178722,1,-85,11
16:9:39.042,58179042,1,-85,13
16:9:39.043,58179043,1,-84,16
16:9:39.222,58179222,1,-85,15
16:9:39.402,58179402,1,-85,14
16:9:39.682,58179682,1,-85,13
16:9:39.971,58179971,1,-84,15
16:9:40.112,58180112,1,-83,15
16:9:40.222,58180222,1,-83,16
16:9:40.401,58180401,1,-83,14
16:9:40.722,58180722,1,-83,15
16:9:40.881,58180881,1,-84,13
16:9:41.002,58181002,1,-81,17
16:9:41.209,58181209,1,-87,14
16:9:41.522,58181522,1,-78,19
16:9:41.682,58181682,1,-82,18
16:9:41.842,58181842,1,-84,16
16:9:42.112,58182112,1,-82,18
16:9:42.222,58182222,1,-84,16
16:9:42.561,58182561,1,-82,18
16:9:42.722,58182722,1,-82,15
16:9:42.882,58182882,1,-83,18
16:9:43.042,58183042,1,-86,16
16:9:43.222,58183222,1,-83,16
16:9:43.401,58183401,1,-79,18
16:9:43.682,58183682,1,-83,15
16:9:43.842,58183842,1,-80,18
16:9:44.222,58184222,1,-82,17
16:9:44.401,58184401,1,-85,17
16:9:44.722,58184722,1,-82,20
16:9:44.882,58184882,1,-82,17
16:9:45.002,58185002,1,-89,13
16:9:45.222,58185222,1,-86,15
16:9:45.401,58185401,1,-82,18
16:9:45.721,58185721,1,-84,17
16:9:45.881,58185881,1,-82,17
16:9:46.041,58186041,1,-87,13
16:9:46.222,58186222,1,-85,15
16:9:46.521,58186521,1,-83,16
16:9:46.682,58186682,1,-81,19
16:9:46.842,58186842,1,-84,15
16:9:47.002,58187002,1,-83,16
16:9:47.222,58187222,1,-83,17
16:9:47.561,58187561,1,-82,16
16:9:47.721,58187721,1,-82,16
16:9:47.882,58187882,1,-81,15
16:9:48.042,58188042,1,-83,15
16:9:48.222,58188222,1,-87,13
16:9:48.401,58188401,1,-83,15
16:9:48.722,58188722,1,-81,16
16:9:48.882,58188882,1,-82,14
16:9:49.001,58189001,1,-81,13
16:9:49.202,58189202,1,-84,13
16:9:49.441,58189441,1,-81,14
16:9:49.602,58189602,1,-80,17
16:9:49.802,58189802,1,-81,17
16:9:50.081,58190081,1,-82,13
16:9:50.222,58190222,1,-81,14
16:9:50.401,58190401,1,-79,15
16:9:50.722,58190722,1,-81,15
16:9:50.884,58190884,1,-82,15
16:9:51.003,58191003,1,-83,12
16:9:51.222,58191222,1,-81,15
16:9:51.402,58191402,1,-82,15
16:9:51.723,58191723,1,-84,14
16:9:51.883,58191883,1,-84,15
16:9:52.113,58192113,1,-86,13
16:9:52.223,58192223,1,-84,13
16:9:52.403,58192403,1,-86,15
16:9:52.723,58192723,1,-83,16
16:9:52.883,58192883,1,-84,16
16:9:53.113,58193113,1,-85,15
16:9:53.223,58193223,1,-83,15
16:9:53.482,58193482,1,-83,13
16:9:53.643,58193643,1,-85,16
16:9:53.803,58193803,1,-81,17
16:9:54.043,58194043,1,-81,15
16:9:54.202,58194202,1,-81,15
16:9:54.403,58194403,1,-84,13
16:9:54.762,58194762,1,-82,14
16:9:54.842,58194842,1,-83,13
16:9:55.078,58195078,1,-81,16
16:9:55.202,58195202,1,-80,17
16:9:55.402,58195402,1,-82,17
16:9:55.603,58195603,1,-82,13
16:9:55.843,58195843,1,-82,14
16:9:56.003,58196003,1,-88,9
16:9:56.202,58196202,1,-89,12
16:9:56.443,58196443,1,-84,14
16:9:56.603,58196603,1,-90,11
16:9:56.802,58196802,1,-91,12
16:9:57.002,58197002,1,-84,9
16:9:57.203,58197203,1,-84,12
16:9:57.402,58197402,1,-82,13
16:9:57.603,58197603,1,-85,14
16:9:57.842,58197842,1,-86,13
16:9:58.003,58198003,1,-83,15
16:9:58.223,58198223,1,-84,18
16:9:58.482,58198482,1,-84,14
16:9:58.603,58198603,1,-86,12
16:9:58.802,58198802,1,-90,11
16:9:59.082,58199082,1,-85,13
16:9:59.223,58199223,1,-90,12
16:9:59.403,58199403,1,-84,12
16:9:59.642,58199642,1,-89,15
16:9:59.802,58199802,1,-88,12
16:10:0.042,58200042,1,-83,13
16:10:0.203,58200203,1,-83,13
16:10:0.402,58200402,1,-87,12
16:10:0.642,58200642,1,-88,11
16:10:0.802,58200802,1,-82,13
16:10:1.002,58201002,1,-87,15
16:10:1.223,58201223,1,-90,11
16:10:1.442,58201442,1,-87,13
16:10:1.603,58201603,1,-83,11
16:10:1.842,58201842,1,-88,11
16:10:2.042,58202042,1,-87,11
16:10:2.204,58202204,1,-85,12
16:10:2.402,58202402,1,-83,19
16:10:2.642,58202642,1,-84,14
16:10:2.802,58202802,1,-80,15
16:10:3.003,58203003,1,-77,17
16:10:3.204,58203204,1,-85,15
16:10:3.402,58203402,1,-83,15
16:10:3.606,58203606,1,-81,16
16:10:3.834,58203834,1,-86,15
16:10:4.002,58204002,1,-78,17
16:10:4.223,58204223,1,-79,17
16:10:4.402,58204402,1,-86,12
16:10:4.602,58204602,1,-84,16
16:10:4.802,58204802,1,-83,16
16:10:4.988,58204988,1,-84,13
16:10:5.203,58205203,1,-81,11
16:10:5.402,58205402,1,-89,8
16:10:5.642,58205642,1,-84,10
16:10:5.842,58205842,1,-83,13
16:10:6.002,58206002,1,-89,11
16:10:6.203,58206203,1,-85,13
16:10:6.403,58206403,1,-82,15
16:10:6.602,58206602,1,-88,11
16:10:6.802,58206802,1,-79,16
16:10:7.042,58207042,1,-82,14
16:10:7.223,58207223,1,-79,13
16:10:7.438,58207438,1,-81,14
16:10:7.642,58207642,1,-80,15
16:10:7.802,58207802,1,-80,14
16:10:8.002,58208002,1,-79,17
16:10:8.223,58208223,1,-84,11
16:10:8.403,58208403,1,-80,16
16:10:8.642,58208642,1,-78,16
16:10:8.805,58208805,1,-79,16
16:10:9.003,58209003,1,-80,14
16:10:9.205,58209205,1,-81,15
16:10:9.403,58209403,1,-81,16
16:10:9.642,58209642,1,-80,15
16:10:9.843,58209843,1,-78,15
16:10:10.003,58210003,1,-82,16
16:10:10.223,58210223,1,-78,15
16:10:10.444,58210444,1,-83,16
16:10:10.602,58210602,1,-78,15
16:10:10.803,58210803,1,-79,16
16:10:11.003,58211003,1,-81,16
16:10:11.223,58211223,1,-79,15
16:10:11.444,58211444,1,-81,15
16:10:11.683,58211683,1,-86,13
16:10:11.843,58211843,1,-81,16
16:10:12.002,58212002,1,-83,15
16:10:12.223,58212223,1,-84,14
16:10:12.403,58212403,1,-82,15
16:10:12.603,58212603,1,-87,12
16:10:12.803,58212803,1,-82,13
16:10:13.043,58213043,1,-81,14
16:10:13.223,58213223,1,-83,13
16:10:13.405,58213405,1,-82,15
16:10:13.643,58213643,1,-83,14
16:10:13.883,58213883,1,-82,14
16:10:14.043,58214043,1,-80,17
16:10:14.202,58214202,1,-82,15
16:10:14.403,58214403,1,-83,14
16:10:14.603,58214603,1,-82,14
16:10:14.842,58214842,1,-83,14
16:10:15.043,58215043,1,-82,15
16:10:15.224,58215224,1,-82,15
16:10:15.403,58215403,1,-85,13
16:10:15.643,58215643,1,-84,14
16:10:15.829,58215829,1,-84,14
16:10:16.042,58216042,1,-86,13
16:10:16.223,58216223,1,-85,14
16:10:16.402,58216402,1,-85,17
16:10:16.605,58216605,1,-85,15
16:10:16.842,58216842,1,-89,13
16:10:17.003,58217003,1,-87,12
16:10:17.224,58217224,1,-82,13
16:10:17.403,58217403,1,-86,13
16:10:17.604,58217604,1,-82,14
16:10:17.802,58217802,1,-84,15
16:10:18.002,58218002,1,-85,13
16:10:18.203,58218203,1,-85,13
16:10:18.404,58218404,1,-86,11
16:10:18.602,58218602,1,-90,10
16:10:18.803,58218803,1,-90,11
16:10:19.003,58219003,1,-87,9
16:10:19.203,58219203,1,-91,11
16:10:19.442,58219442,1,-88,11
16:10:19.604,58219604,1,-89,8
16:10:19.922,58219922,1,-89,8
16:10:19.979,58219979,1,-90,12
16:10:20.203,58220203,1,-88,10
16:10:20.403,58220403,1,-88,12
16:10:20.603,58220603,1,-87,12
16:10:20.802,58220802,1,-87,11
16:10:21.002,58221002,1,-87,11
16:10:21.223,58221223,1,-89,13
16:10:21.445,58221445,1,-86,10
16:10:21.602,58221602,1,-87,12
16:10:21.842,58221842,1,-87,11
16:10:22.043,58222043,1,-86,12
16:10:22.203,58222203,1,-87,12
16:10:22.442,58222442,1,-86,13
16:10:22.602,58222602,1,-86,13
16:10:22.842,58222842,1,-87,15
16:10:23.069,58223069,1,-88,13
16:10:23.223,58223223,1,-88,15
16:10:23.444,58223444,1,-87,15
16:10:23.602,58223602,1,-87,15
16:10:23.802,58223802,1,-88,15
16:10:24.002,58224002,1,-87,16
16:10:24.223,58224223,1,-88,15
16:10:24.402,58224402,1,-87,16
16:10:24.643,58224643,1,-86,17
16:10:24.802,58224802,1,-88,16
16:10:25.002,58225002,1,-89,20
16:10:25.202,58225202,1,-90,15
16:10:25.402,58225402,1,-88,17
16:10:25.682,58225682,1,-89,14
16:10:25.844,58225844,1,-89,14
16:10:26.003,58226003,1,-89,15
16:10:26.206,58226206,1,-89,14
16:10:26.443,58226443,1,-90,16
16:10:26.604,58226604,1,-91,14
16:10:26.804,58226804,1,-89,12
16:10:27.003,58227003,1,-90,12
16:10:27.224,58227224,1,-88,13
16:10:27.403,58227403,1,-91,12
16:10:27.604,58227604,1,-89,11
16:10:27.843,58227843,1,-90,11
16:10:28.004,58228004,1,-90,10
16:10:28.203,58228203,1,-88,10
16:10:28.443,58228443,1,-89,10
16:10:28.683,58228683,1,-88,11
16:10:28.803,58228803,1,-90,10
16:10:29.003,58229003,1,-91,8
16:10:29.224,58229224,1,-90,9
16:10:29.444,58229444,1,-90,7
16:10:29.643,58229643,1,-92,8
16:10:29.804,58229804,1,-88,11
16:10:30.004,58230004,1,-90,9
16:10:30.224,58230224,1,-92,8
16:10:30.403,58230403,1,-91,6
16:10:30.643,58230643,1,-92,7
16:10:30.804,58230804,1,-91,9
16:10:31.003,58231003,1,-92,6
16:10:31.224,58231224,1,-91,7
16:10:31.443,58231443,1,-93,6
16:10:31.604,58231604,1,-92,7
16:10:31.843,58231843,1,-91,9
16:10:32.004,58232004,1,-90,9
16:10:32.199,58232199,1,-93,7
16:10:32.403,58232403,1,-90,11
16:10:32.603,58232603,1,-91,7
16:10:32.805,58232805,1,-90,5
16:10:33.043,58233043,1,-90,3
16:10:33.205,58233205,1,-86,9
16:10:33.389,58233389,1,-90,2
16:10:33.603,58233603,1,-92,3
16:10:33.844,58233844,1,-91,5
16:10:34.043,58234043,1,-92,6
16:10:34.203,58234203,1,-94,8
16:10:34.403,58234403,1,-94,9
16:10:34.603,58234603,1,-92,12
16:10:34.843,58234843,1,-92,12
16:10:35.004,58235004,1,-91,12
16:10:35.203,58235203,1,-93,12
16:10:35.444,58235444,1,-94,8
16:10:35.643,58235643,1,-95,7
16:10:35.843,58235843,1,-94,7
16:10:36.043,58236043,1,-92,9
16:10:36.203,58236203,1,-93,4
16:10:36.419,58236419,1,-95,1
16:10:36.603,58236603,1,-95,2
16:10:36.803,58236803,1,-95,4
16:10:37.004,58237004,1,-93,6
16:10:37.219,58237219,1,-96,5
16:10:37.403,58237403,1,-94,3
16:10:37.603,58237603,1,-92,7
16:10:37.843,58237843,1,-94,3
16:10:38.043,58238043,1,-95,0
16:10:38.203,58238203,1,-94,3
16:10:38.403,58238403,1,-92,6
16:10:38.643,58238643,1,-94,6
16:10:38.804,58238804,1,-94,9
16:10:39.003,58239003,1,-92,11
16:10:39.204,58239204,1,-92,8
16:10:39.403,58239403,1,-92,13
16:10:39.605,58239605,1,-93,10
16:10:39.845,58239845,1,-91,11
16:10:40.003,58240003,1,-95,10
16:10:40.224,58240224,1,-94,8
16:10:40.443,58240443,1,-92,9
16:10:40.643,58240643,1,-91,11
16:10:40.843,58240843,1,-93,8
16:10:41.004,58241004,1,-92,9
16:10:41.204,58241204,1,-93,10
16:10:41.403,58241403,1,-92,11
16:10:41.603,58241603,1,-92,10
16:10:41.826,58241826,1,-95,10
16:10:42.003,58242003,1,-94,9
16:10:42.204,58242204,1,-94,11
16:10:42.443,58242443,1,-95,9
16:10:42.723,58242723,1,-94,11
16:10:42.883,58242883,1,-94,9
16:10:43.004,58243004,1,-93,10
16:10:43.205,58243205,1,-92,11
16:10:43.404,58243404,1,-91,12
16:10:43.604,58243604,1,-92,11
16:10:43.805,58243805,1,-91,12
16:10:44.004,58244004,1,-91,10
16:10:44.205,58244205,1,-90,11
16:10:44.404,58244404,1,-91,11
16:10:44.644,58244644,1,-94,11
16:10:44.804,58244804,1,-93,9
16:10:45.004,58245004,1,-90,10
16:10:45.225,58245225,1,-91,8
16:10:45.404,58245404,1,-93,8
16:10:45.604,58245604,1,-93,9
16:10:45.805,58245805,1,-93,10
16:10:46.004,58246004,1,-94,6
16:10:46.204,58246204,1,-94,6
16:10:46.404,58246404,1,-92,6
16:10:46.620,58246620,1,-93,5
16:10:46.804,58246804,1,-95,8
16:10:47.005,58247005,1,-94,9
16:10:47.225,58247225,1,-93,10
16:10:47.404,58247404,1,-94,8
16:10:47.645,58247645,1,-96,5
16:10:47.844,58247844,1,-93,6
16:10:48.085,58248085,1,-91,8
16:10:48.225,58248225,1,-91,10
16:10:48.484,58248484,1,-93,10
16:10:48.644,58248644,1,-94,7
16:10:48.844,58248844,1,-93,5
16:10:49.044,58249044,1,-92,10
16:10:49.204,58249204,1,-93,8
16:10:49.445,58249445,1,-93,8
16:10:49.604,58249604,1,-91,4
16:10:49.845,58249845,1,-95,3
16:10:50.045,58250045,1,-94,7
16:10:50.204,58250204,1,-92,9
16:10:50.404,58250404,1,-92,9
16:10:50.684,58250684,1,-94,6
16:10:50.844,58250844,1,-93,7
16:10:51.084,58251084,1,-93,7
16:10:51.225,58251225,1,-93,5
16:10:51.404,58251404,1,-93,8
16:10:51.644,58251644,1,-93,7
16:10:51.844,58251844,1,-94,9
16:10:52.004,58252004,1,-94,4
16:10:52.225,58252225,1,-95,3
16:10:52.444,58252444,1,-92,6
16:10:52.644,58252644,1,-94,4
16:10:52.805,58252805,1,-93,9
16:10:53.004,58253004,1,-93,6
16:10:53.205,58253205,1,-96,6
16:10:53.404,58253404,1,-94,4
16:10:53.604,58253604,1,-93,7
16:10:53.844,58253844,1,-94,5
16:10:54.044,58254044,1,-91,10
16:10:54.225,58254225,1,-95,5
16:10:54.404,58254404,1,-95,5
16:10:54.604,58254604,1,-93,11
16:10:54.804,58254804,1,-92,9
16:10:55.004,58255004,1,-94,5
16:10:55.225,58255225,1,-94,6
16:10:55.444,58255444,1,-95,5
16:10:55.724,58255724,1,-92,6
16:10:55.804,58255804,1,-92,6
16:10:56.004,58256004,1,-95,10
16:10:56.204,58256204,1,-94,6
16:10:56.404,58256404,1,-91,10
16:10:56.605,58256605,1,-92,8
16:10:56.844,58256844,1,-94,8
16:10:57.044,58257044,1,-95,7
16:10:57.204,58257204,1,-92,9
16:10:57.444,58257444,1,-95,8
16:10:57.604,58257604,1,-92,7
16:10:57.804,58257804,1,-94,6
16:10:58.004,58258004,1,-96,4
16:10:58.225,58258225,1,-95,6
16:10:58.404,58258404,1,-94,6
16:10:58.604,58258604,1,-95,5
16:10:58.843,58258843,1,-92,9
16:10:59.004,58259004,1,-93,7
16:10:59.203,58259203,1,-94,6
16:10:59.444,58259444,1,-93,9
16:10:59.724,58259724,1,-91,9
16:10:59.844,58259844,1,-93,6
16:11:0.004,58260004,1,-95,7
16:11:0.225,58260225,1,-94,6
16:11:0.404,58260404,1,-94,6
16:11:0.606,58260606,1,-92,6
16:11:0.844,58260844,1,-96,4
16:11:1.005,58261005,1,-96,5
16:11:1.226,58261226,1,-96,7
16:11:1.404,58261404,1,-94,7
16:11:1.644,58261644,1,-93,8
