Time,PCTime,UEid,Serving Cell RSRP(dBm)
16:9:26.221,58166221,1,-87
16:9:26.401,58166401,1,-86
16:9:26.721,58166721,1,-86
16:9:26.881,58166881,1,-85
16:9:27.041,58167041,1,-85
16:9:27.221,58167221,1,-88
16:9:27.401,58167401,1,-86
16:9:27.721,58167721,1,-87
16:9:27.881,58167881,1,-87
16:9:28.041,58168041,1,-85
16:9:28.221,58168221,1,-86
16:9:28.401,58168401,1,-86
16:9:28.721,58168721,1,-86
16:9:28.881,58168881,1,-87
16:9:29.041,58169041,1,-86
16:9:29.221,58169221,1,-87
16:9:29.401,58169401,1,-87
16:9:29.721,58169721,1,-87
16:9:30.041,58170041,1,-87
16:9:30.042,58170042,1,-87
16:9:30.221,58170221,1,-86
16:9:30.401,58170401,1,-86
16:9:30.721,58170721,1,-87
16:9:30.881,58170881,1,-87
16:9:31.040,58171040,1,-86
16:9:31.221,58171221,1,-87
16:9:31.601,58171601,1,-87
16:9:31.602,58171602,1,-87
16:9:31.881,58171881,1,-87
16:9:32.041,58172041,1,-87
16:9:32.221,58172221,1,-87
16:9:32.401,58172401,1,-86
16:9:32.721,58172721,1,-86
16:9:32.841,58172841,1,-86
16:9:33.112,58173112,1,-85
16:9:33.221,58173221,1,-86
16:9:33.522,58173522,1,-86
16:9:33.682,58173682,1,-86
16:9:33.881,58173881,1,-86
16:9:34.003,58174003,1,-86
16:9:34.222,58174222,1,-85
16:9:34.402,58174402,1,-86
16:9:34.722,58174722,1,-86
16:9:34.881,58174881,1,-86
16:9:35.002,58175002,1,-86
16:9:35.222,58175222,1,-86
16:9:35.402,58175402,1,-85
16:9:35.722,58175722,1,-87
16:9:35.882,58175882,1,-86
16:9:36.042,58176042,1,-83
16:9:36.222,58176222,1,-84
16:9:36.402,58176402,1,-87
16:9:36.722,58176722,1,-89
16:9:36.882,58176882,1,-91
16:9:37.042,58177042,1,-85
16:9:37.222,58177222,1,-88
16:9:37.522,58177522,1,-82
16:9:37.682,58177682,1,-88
16:9:37.842,58177842,1,-86
16:9:38.112,58178112,1,-81
16:9:38.222,58178222,1,-83
16:9:38.402,58178402,1,-82
16:9:38.722,58178722,1,-85
16:9:39.042,58179042,1,-85
16:9:39.043,58179043,1,-84
16:9:39.222,58179222,1,-85
16:9:39.402,58179402,1,-85
16:9:39.682,58179682,1,-85
16:9:39.971,58179971,1,-84
16:9:40.112,58180112,1,-83
16:9:40.222,58180222,1,-83
16:9:40.401,58180401,1,-83
16:9:40.722,58180722,1,-83
16:9:40.881,58180881,1,-84
16:9:41.002,58181002,1,-81
16:9:41.209,58181209,1,-87
16:9:41.522,58181522,1,-78
16:9:41.682,58181682,1,-82
16:9:41.842,58181842,1,-84
16:9:42.112,58182112,1,-82
16:9:42.222,58182222,1,-84
16:9:42.561,58182561,1,-82
16:9:42.722,58182722,1,-82
16:9:42.882,58182882,1,-83
16:9:43.042,58183042,1,-86
16:9:43.222,58183222,1,-83
16:9:43.401,58183401,1,-79
16:9:43.682,58183682,1,-83
16:9:43.842,58183842,1,-80
16:9:44.222,58184222,1,-82
16:9:44.401,58184401,1,-85
16:9:44.722,58184722,1,-82
16:9:44.882,58184882,1,-82
16:9:45.002,58185002,1,-89
16:9:45.222,58185222,1,-86
16:9:45.401,58185401,1,-82
16:9:45.721,58185721,1,-84
16:9:45.881,58185881,1,-82
16:9:46.041,58186041,1,-87
16:9:46.222,58186222,1,-85
16:9:46.521,58186521,1,-83
16:9:46.682,58186682,1,-81
16:9:46.842,58186842,1,-84
16:9:47.002,58187002,1,-83
16:9:47.222,58187222,1,-83
16:9:47.561,58187561,1,-82
16:9:47.721,58187721,1,-82
16:9:47.882,58187882,1,-81
16:9:48.042,58188042,1,-83
16:9:48.222,58188222,1,-87
16:9:48.401,58188401,1,-83
16:9:48.722,58188722,1,-81
16:9:48.882,58188882,1,-82
16:9:49.001,58189001,1,-81
16:9:49.202,58189202,1,-84
16:9:49.441,58189441,1,-81
16:9:49.602,58189602,1,-80
16:9:49.802,58189802,1,-81
16:9:50.081,58190081,1,-82
16:9:50.222,58190222,1,-81
16:9:50.401,58190401,1,-79
16:9:50.722,58190722,1,-81
16:9:50.884,58190884,1,-82
16:9:51.003,58191003,1,-83
16:9:51.222,58191222,1,-81
16:9:51.402,58191402,1,-82
16:9:51.723,58191723,1,-84
16:9:51.883,58191883,1,-84
16:9:52.113,58192113,1,-86
16:9:52.223,58192223,1,-84
16:9:52.403,58192403,1,-86
16:9:52.723,58192723,1,-83
16:9:52.883,58192883,1,-84
16:9:53.113,58193113,1,-85
16:9:53.223,58193223,1,-83
16:9:53.482,58193482,1,-83
16:9:53.643,58193643,1,-85
16:9:53.803,58193803,1,-81
16:9:54.043,58194043,1,-81
16:9:54.202,58194202,1,-81
16:9:54.403,58194403,1,-84
16:9:54.762,58194762,1,-82
16:9:54.842,58194842,1,-83
16:9:55.078,58195078,1,-81
16:9:55.202,58195202,1,-80
16:9:55.402,58195402,1,-82
16:9:55.603,58195603,1,-82
16:9:55.843,58195843,1,-82
16:9:56.003,58196003,1,-88
16:9:56.202,58196202,1,-89
16:9:56.443,58196443,1,-84
16:9:56.603,58196603,1,-90
16:9:56.802,58196802,1,-91
16:9:57.002,58197002,1,-84
16:9:57.203,58197203,1,-84
16:9:57.402,58197402,1,-82
16:9:57.603,58197603,1,-85
16:9:57.842,58197842,1,-86
16:9:58.003,58198003,1,-83
16:9:58.223,58198223,1,-84
16:9:58.482,58198482,1,-84
16:9:58.603,58198603,1,-86
16:9:58.802,58198802,1,-90
16:9:59.082,58199082,1,-85
16:9:59.223,58199223,1,-90
16:9:59.403,58199403,1,-84
16:9:59.642,58199642,1,-89
16:9:59.802,58199802,1,-88
16:10:0.042,58200042,1,-83
16:10:0.203,58200203,1,-83
16:10:0.402,58200402,1,-87
16:10:0.642,58200642,1,-88
16:10:0.802,58200802,1,-82
16:10:1.002,58201002,1,-87
16:10:1.223,58201223,1,-90
16:10:1.442,58201442,1,-87
16:10:1.603,58201603,1,-83
16:10:1.842,58201842,1,-88
16:10:2.042,58202042,1,-87
16:10:2.204,58202204,1,-85
16:10:2.402,58202402,1,-83
16:10:2.642,58202642,1,-84
16:10:2.802,58202802,1,-80
16:10:3.003,58203003,1,-77
16:10:3.204,58203204,1,-85
16:10:3.402,58203402,1,-83
16:10:3.606,58203606,1,-81
16:10:3.834,58203834,1,-86
16:10:4.002,58204002,1,-78
16:10:4.223,58204223,1,-79
16:10:4.402,58204402,1,-86
16:10:4.602,58204602,1,-84
16:10:4.802,58204802,1,-83
16:10:4.988,58204988,1,-84
16:10:5.203,58205203,1,-81
16:10:5.402,58205402,1,-89
16:10:5.642,58205642,1,-84
16:10:5.842,58205842,1,-83
